city_id,city_name,city_english_name,latitude,longitude,is_capital,population,postal_code,province_id,province_name,province_english_name,phone_code
1,آبش‌احمد,ABSh AHMD,39.0431974,47.3169755,No,,,1,آذربایجان شرقی,East Azerbaijan,041
2,آذران,AZRAN,37.476617,47.050753,No,,,1,آذربایجان شرقی,East Azerbaijan,041
3,آذرشهر,Azarshahr,37.7577189,45.9784018,No,,,1,آذربایجان شرقی,East Azerbaijan,041
4,آقکند,AQKND,37.256908,48.064766,No,,,1,آذربایجان شرقی,East Azerbaijan,041
5,اسکو,ASKV,37.9163003,46.1243894,No,,,1,آذربایجان شرقی,East Azerbaijan,041
6,اهر,Ahar,38.4774934,47.0662215,No,,,1,آذربایجان شرقی,East Azerbaijan,041
7,ایلخچی,AYLKhChY,37.9389278,45.9800159,No,,,1,آذربایجان شرقی,East Azerbaijan,041
8,باروق,BARVQ,38.1730922,47.0637922,No,,,1,آذربایجان شرقی,East Azerbaijan,041
9,باسمنج,BASMNJ,37.9955619,46.4749113,No,,,1,آذربایجان شرقی,East Azerbaijan,041
10,بخشایش,BKhShAYSh,38.131648,46.9471214,No,,,1,آذربایجان شرقی,East Azerbaijan,041
11,بستان‌آباد,Bostanabad,37.8429496,46.8339774,No,,,1,آذربایجان شرقی,East Azerbaijan,041
12,بناب,Bonab,37.3386053,46.0592907,No,,,1,آذربایجان شرقی,East Azerbaijan,041
13,بناب جدید,BNAB JDYD,38.428347,45.9086682,No,,,1,آذربایجان شرقی,East Azerbaijan,041
14,تبریز,Tabriz,38.0739964,46.2961952,Yes,,,1,آذربایجان شرقی,East Azerbaijan,041
15,تسوج,TSVJ,38.3168836,45.3590459,No,,,1,آذربایجان شرقی,East Azerbaijan,041
16,تیکمه‌داش,TYKMH DASh,37.7257203,46.9375589,No,,,1,آذربایجان شرقی,East Azerbaijan,041
17,جلفا,Jolfa,38.937675,45.6251478,No,,,1,آذربایجان شرقی,East Azerbaijan,041
18,خاروانا,KhARVANA,38.6851329,46.1697582,No,,,1,آذربایجان شرقی,East Azerbaijan,041
19,خامنه,KhAMNH,38.1934507,45.6298023,No,,,1,آذربایجان شرقی,East Azerbaijan,041
20,خراجو,KhRAJV,37.7249808,45.9832817,No,,,1,آذربایجان شرقی,East Azerbaijan,041
21,خسروشهر,KhSRVShHR,37.9501802,46.0524977,No,,,1,آذربایجان شرقی,East Azerbaijan,041
22,خواجه,KhVAJH,38.1529122,46.5827856,No,,,1,آذربایجان شرقی,East Azerbaijan,041
23,دوزدوزان,DVZDVZAN,37.948976,47.119787,No,,,1,آذربایجان شرقی,East Azerbaijan,041
24,ذوالبین,ZVALBYN,37.478514,46.878859,No,,,1,آذربایجان شرقی,East Azerbaijan,041
25,زرنق,ZRNQ,37.3351718,47.6724879,No,,,1,آذربایجان شرقی,East Azerbaijan,041
26,زنوز,ZNVZ,38.5880287,45.8319818,No,,,1,آذربایجان شرقی,East Azerbaijan,041
27,سراب,Sarab,37.9407851,47.5374867,No,,,1,آذربایجان شرقی,East Azerbaijan,041
28,سردرود,SRDRVD,38.0278895,46.1474327,No,,,1,آذربایجان شرقی,East Azerbaijan,041
29,سهند,SHND,37.9471891,46.1184603,No,,,1,آذربایجان شرقی,East Azerbaijan,041
30,سیس,SYS,38.1997037,45.8124325,No,,,1,آذربایجان شرقی,East Azerbaijan,041
31,سیه‌رود,SYH RVD,38.8693808,46.0023332,No,,,1,آذربایجان شرقی,East Azerbaijan,041
32,شبستر,Shabestar,38.1783704,45.7002363,No,,,1,آذربایجان شرقی,East Azerbaijan,041
33,شربیان,ShRBYAN,37.8811174,47.1008591,No,,,1,آذربایجان شرقی,East Azerbaijan,041
34,شرفخانه,ShRFKhANH,38.1786897,45.4892529,No,,,1,آذربایجان شرقی,East Azerbaijan,041
35,شندآباد,ShNDABAD,38.1414419,45.6298841,No,,,1,آذربایجان شرقی,East Azerbaijan,041
36,صوفیان,SVFYAN,38.27694,45.981373,No,,,1,آذربایجان شرقی,East Azerbaijan,041
37,عجب‌شیر,Ajab Shir,37.4770929,45.8936922,No,,,1,آذربایجان شرقی,East Azerbaijan,041
38,قره‌آغاج,QRH AGhAJ,37.1287747,46.9750123,No,,,1,آذربایجان شرقی,East Azerbaijan,041
39,لیلان,LYLAN,37.0111324,46.2059139,No,,,1,آذربایجان شرقی,East Azerbaijan,041
40,مراغه,Maragheh,37.3916705,46.2397524,No,,,1,آذربایجان شرقی,East Azerbaijan,041
41,مرند,Marand,38.4306358,45.7741,No,,,1,آذربایجان شرقی,East Azerbaijan,041
42,ممقان,MMQAN,37.8443261,45.9729822,No,,,1,آذربایجان شرقی,East Azerbaijan,041
43,مهربان,MHRBAN,38.0806733,47.1317722,No,,,1,آذربایجان شرقی,East Azerbaijan,041
44,میانه,Mianeh,37.428343,47.705862,No,,,1,آذربایجان شرقی,East Azerbaijan,041
45,هادیشهر,HADYShHR,38.8416756,45.6648065,No,,,1,آذربایجان شرقی,East Azerbaijan,041
46,هریس,HRYS,38.2472611,47.1162759,No,,,1,آذربایجان شرقی,East Azerbaijan,041
47,هشترود,HShTRVD,37.4764996,47.0495919,No,,,1,آذربایجان شرقی,East Azerbaijan,041
